LIGUE,GIORNATA,INCONTRO,set 1,set 2,set 3
LIGUE TWO,1,LANFRANCHI-MINUTOLI / LANDI-SISINNI,6/1,6/0,
LIGUE TWO,1,SARLO-FOTI / LANDI-MISITANO,3/6,6/3,7/10
LIGUE TWO,1,DAVID-IRACI / BRUGALETTA-CAMARDA,,,
LIGUE TWO,1,TUCCIO-BONACCORSO / CORALLO-APRILE,6/2,4/6,13/11
LIGUE TWO,1,SAPIENZA-RUSSO / PISA-PETRUNGARO,7/6,6/3,
LIGUE TWO,1,RIPOSANO. MAGIC MIKE-SORRENTI,,,
LIGUE ONE,1,PELLE-GIACOPELLO / BUCETI-PAPPALARDO,6/1,6/1,
LIGUE ONE,1,CACI-D’URSO / SCAFIDI-SCOLARO,6/2,5/7,10/4
LIGUE ONE,1,GENITORI-CALCAGNO / PATANIA-PAOLETTI,4/6,6/1,10/5
LIGUE ONE,1,MAIOLINO-BENINATI / SCIMONE-BARDETTA,6/4,7/5,
LIGUE ONE,1,STRANGIS MOBILIA-LENCI / PORTARO-DI DIO,,,
LIGUE ONE,1,RIPOSANO. LA SPADA-BURRASCANO,,,
LIGUE TWO,2,MAGIC MIKE-SORRENTI / DAVID-IRACI,,,
LIGUE TWO,2,BRUGALETTA-CAMARDA / LANDI-SISINNI,6/1,6/2,
LIGUE TWO,2,SAPIENZA-RUSSO / CORALLO-APRILE,,,
LIGUE TWO,2,LANFRANCHI-MINUTOLI / TUCCIO-BONACCORSO,,,
LIGUE TWO,2,PISA-PETRUNGARO / SARLO-FOTI,,,
LIGUE TWO,2,RIPOSANO: LANDI-MISITANO,,,
LIGUE ONE,2,MAIOLINO-BENINATI / BUCETI-PAPPALARDO,7/6,6/2,
LIGUE ONE,2,SCAFIDI-SCOLARO / PATANIA-PAOLETTI,7/5,7/5,
LIGUE ONE,2,LA SPADA-BURRASCANO / SCIMONE-BARDETTA,6/1,6/0,
LIGUE ONE,2,GENITORI-CALCAGNO / STRANGIS MOBILIA-LENCI,6/2,4/6,10/8
LIGUE ONE,2,CACI-D’URSO / PELLE-GIACOPELLO,6/4,5/7,6/10
LIGUE ONE,2,RIPOSANO: PORTARO-DI DIO,,,
LIGUE TWO,3,LANFRANCHI-MINUTOLI / BRUGALETTA-CAMARDA,2/6,6/3,10/3
LIGUE TWO,3,LANDI-MISITANO / DAVID-IRACI,,,
LIGUE TWO,3,PISA-PETRUNGARO / LANDI-SISINNI,,,
LIGUE TWO,3,CORALLO-APRILE / SARLO-FOTI,6/0,3/6,10/7
LIGUE TWO,3,MAGIC MIKE-SORRENTI / SAPIENZA-RUSSO,6/2,4/6,10/7
LIGUE TWO,3,RIPOSANO: TUCCIO-BONACCORSO,,,
LIGUE ONE,3,MAIOLINO-BENINATI / PATANIA-PAOLETTI,,,
LIGUE ONE,3,SCAFIDI-SCOLARO / PORTARO-DI DIO,,,
LIGUE ONE,3,LA SPADA-BURRASCANO / PELLE-GIACOPELLO,,,
LIGUE ONE,3,GENITORI-CALCAGNO / STRANGIS MOBILIA-LENCI,,,
LIGUE ONE,3,CACI-D’URSO / SCIMONE-BARDETTA,,,
LIGUE ONE,3,RIPOSANO: GENITORI-CALCAGNO,,,
LIGUE TWO,4,PISA-PETRUNGARO / MAGIC MIKE-SORRENTI,,,
LIGUE TWO,4,LANDI-MISITANO / TUCCIO-BONACCORSO,,,
LIGUE TWO,4,BRUGALETTA-CAMARDA / SARLO-FOTI,,,
LIGUE TWO,4,LANDI-SISINNI / DAVID-IRACI,,,
LIGUE TWO,4,LANFRANCHI-MINUTOLI / CORALLO-APRILE,,,
LIGUE TWO,4,RIPOSANO: SAPIENZA-RUSSO,,,
LIGUE ONE,4,MAIOLINO-BENINATI / PORTARO-DI DIO,,,
LIGUE ONE,4,SCIMONE-BARDETTA / STRANGIS MOBILIA-LENCI,7/6,6/1,
LIGUE ONE,4,CACI-D’URSO / BUCETI-PAPPALARDO,,,
LIGUE ONE,4,PATANIA-PAOLETTI/ PELLE-GIACOPELLO,,,
LIGUE ONE,4,LA SPADA-BURRASCANO / GENITORI-CALCAGNO,,,
LIGUE ONE,4,RIPOSANO: SCAFIDI-SCOLARO,,,
LIGUE TWO,5,TUCCIO-BONACCORSO / DAVID-IRACI,6/2,6/3,
LIGUE TWO,5,LANFRANCHI-MINUTOLI / SARLO-FOTI,,,
LIGUE TWO,5,MAGIC MIKE-SORRENTI / CORALLO-APRILE,,,
LIGUE TWO,5,SAPIENZA-RUSSO / LANDI-SISINNI,,,
LIGUE TWO,5,LANDI-MISITANO / PISA-PETRUNGARO,,,
LIGUE TWO,5,RIPOSANO: BRUGALETTA-CAMARDA,,,
LIGUE ONE,5,GENITORI-CALCAGNO / PELLE-GIACOPELLO,,,
LIGUE ONE,5,SCAFIDI-SCOLARO / BUCETI-PAPPALARDO,6/1,6/1,
LIGUE ONE,5,PATANIA-PAOLETTI/ PORTARO-DI DIO,,,
LIGUE ONE,5,LA SPADA-BURRASCANO / MAIOLINO-BENINATI,,,
LIGUE ONE,5,STRANGIS MOBILIA-LENCI / CACI-D’URSO,,,
LIGUE ONE,5,RIPOSANO: SCIMONE-BARDETTA,,,
LIGUE TWO,6,LANDI-MISITANO / MAGIC MIKE-SORRENTI,1/6,5/7,
LIGUE TWO,6,BRUGALETTA-CAMARDA / TUCCIO-BONACCORSO,,,
LIGUE TWO,6,CORALLO-APRILE / LANDI-SISINNI,,,
LIGUE TWO,6,DAVID-IRACI / LANFRANCHI-MINUTOLI,0/6,2/6,
LIGUE TWO,6,SARLO-FOTI / SAPIENZA-RUSSO,,,
LIGUE TWO,6,RIPOSANO: PISA-PETRUNGARO,,,
LIGUE ONE,6,PORTARO-DI DIO / PELLE-GIACOPELLO,6/2,6/0,
LIGUE ONE,6,GENITORI-CALCAGNO / MAIOLINO-BENINATI,,,
LIGUE ONE,6,LA SPADA-BURRASCANO / BUCETI-PAPPALARDO,,,
LIGUE ONE,6,SCAFIDI-SCOLARO / SCIMONE-BARDETTA,,,
LIGUE ONE,6,PATANIA-PAOLETTI/ CACI-D’URSO,,,
LIGUE ONE,6,RIPOSANO: STRANGIS MOBILIA-LENCI,,,
LIGUE TWO,7,LANDI-MISITANO / LANDI-SISINNI,6/1,4/6,10/7
LIGUE TWO,7,BRUGALETTA-CAMARDA / CORALLO-APRILE,,,
LIGUE TWO,7,MAGIC MIKE-SORRENTI / SARLO-FOTI,,,
LIGUE TWO,7,TUCCIO-BONACCORSO / SAPIENZA-RUSSO,,,
LIGUE TWO,7,PISA-PETRUNGARO / DAVID-IRACI,,,
LIGUE TWO,7,RIPOSANO: LANFRANCHI-MINUTOLI,,,
LIGUE ONE,7,LA SPADA-BURRASCANO / SCAFIDI-SCOLARO,6/0,4/6,10/5
LIGUE ONE,7,STRANGIS MOBILIA-LENCI / MAIOLINO-BENINATI,,,
LIGUE ONE,7,CACI-D’URSO / PORTARO-DI DIO,,,
LIGUE ONE,7,GENITORI-CALCAGNO / SCAFIDI-SCOLARO,,,
LIGUE ONE,7,SCIMONE-BARDETTA / PATANIA-PAOLETTI,,,
LIGUE ONE,7,RIPOSANO: BUCETI-PAPPALARDO,,,
LIGUE TWO,8,DAVID-IRACI / SARLO-FOTI,,,
LIGUE TWO,8,PISA-PETRUNGARO / TUCCIO-BONACCORSO,,,
LIGUE TWO,8,SAPIENZA-RUSSO / BRUGALETTA-CAMARDA,,,
LIGUE TWO,8,LANDI-MISITANO / CORALLO-APRILE,,,
LIGUE TWO,8,LANFRANCHI-MINUTOLI / MAGIC MIKE-SORRENTI,,,
LIGUE TWO,8,RIPOSANO: LANDI-SISINNI,,,
LIGUE ONE,8,CACI-D’URSO / MAIOLINO-BENINATI,7/6,6/4,
LIGUE ONE,8,LA SPADA-BURRASCANO / PATANIA-PAOLETTI,7/5,6/0,
LIGUE ONE,8,GENITORI-CALCAGNO / PORTARO-DI DIO,,,
LIGUE ONE,8,SCAFIDI-SCOLARO / STRANGIS MOBILIA-LENCI,,,
LIGUE ONE,8,BUCETI-PAPPALARDO / SCIMONE-BARDETTA,,,
LIGUE ONE,8,RIPOSANO: PELLE-GIACOPELLO,,,
