Basket ID,Product ID,Amount
1,3,40.03
1,1,82.99
1,1,14.22
2,5,84.6
2,6,14.13
2,7,97.76
3,9,49.52
3,18,97.79
3,16,62.46
4,5,75.23
4,10,8.72
4,11,31.87
5,2,16.42
5,2,33.13
5,8,16.28
6,10,35.21
6,4,44.35
6,7,11.09
7,12,70.78
7,15,58.83
7,19,30.21
8,1,54.71
8,15,13.92
8,4,59.71
9,13,93.28
9,11,35.26
9,12,68.4
10,5,17.52
10,7,73.05
10,5,32.49
11,16,22.4
11,4,60.72
11,13,6.91
12,5,83.75
12,9,5.45
12,15,69.39
13,16,30.65
13,4,74.84
13,16,96.41
14,14,28.63
14,17,59.73
14,18,61.24
15,6,59.36
15,10,26.19
15,4,95.51
