datetime,deviceid,devicetype,readingtype,readingvalue
2023-03-09 12:32:13.949443,4782,Light,Light,66.03
2023-03-09 12:32:13.949443,1016,Sensor,Temperature,31.86
2023-03-10 12:32:13.949443,7185,Light,Light,16.26
2023-03-10 12:32:13.949443,8272,Thermostat,Motion,63.51
2023-03-13 12:32:13.949443,3947,Thermostat,Humidity,35.71
2023-03-14 12:32:13.949443,5816,Thermostat,Light,71.53
2023-03-15 12:32:13.949443,6893,Sensor,Temperature,69.3
2023-03-16 12:32:13.949443,8697,Camera,Temperature,82.77
2023-03-17 12:32:13.949443,2567,Sensor,Light,18.83
2023-03-19 12:32:13.949443,5369,Camera,Temperature,94.13
2023-03-23 12:32:13.949443,6996,Sensor,Light,10.77
2023-03-24 12:32:13.949443,3796,Light,Temperature,84.26
2023-03-25 12:32:13.949443,2357,Sensor,Motion,40.71
2023-03-26 12:32:13.949443,4162,Sensor,Motion,65.26
2023-03-27 12:32:13.949443,9459,Sensor,Light,70.67
2023-03-28 12:32:13.949443,5716,Thermostat,Motion,14.79
2023-03-30 12:32:13.949443,4419,Sensor,Temperature,32.46
2023-04-01 12:32:13.949443,8917,Sensor,Motion,41.25
2023-04-02 12:32:13.949443,1762,Sensor,Motion,27.12
2023-04-04 12:32:13.949443,1048,Sensor,Motion,96.83
2023-04-05 12:32:13.949443,8482,Thermostat,Motion,88.4
2023-04-05 12:32:13.949443,1094,Camera,Humidity,69.32
2023-04-06 12:32:13.949443,3084,Sensor,Temperature,29.78
2023-04-07 12:32:13.949443,4601,Thermostat,Temperature,49.96
2023-04-08 12:32:13.949443,5646,Sensor,Light,49.57
2023-04-08 12:32:13.949443,8087,Thermostat,Light,11.7
2023-04-09 12:32:13.949443,8692,Light,Temperature,61.49
2023-04-09 12:32:13.949443,5782,Camera,Motion,74.09
2023-04-09 12:32:13.949443,4076,Light,Temperature,39.58
2023-04-09 12:32:13.949443,1565,Light,Light,43.44
2023-04-10 12:32:13.949443,2995,Sensor,Motion,15.24
2023-04-10 12:32:13.949443,4454,Camera,Light,24.87
2023-04-13 12:32:13.949443,3391,Sensor,Humidity,59.46
2023-04-14 12:32:13.949443,4613,Camera,Temperature,59.67
2023-04-15 12:32:13.949443,4291,Sensor,Humidity,36.55
2023-04-20 12:32:13.949443,3082,Camera,Motion,76.79
2023-04-20 12:32:13.949443,3731,Camera,Light,42.39
2023-04-20 12:32:13.949443,1386,Sensor,Motion,29.57
2023-04-20 12:32:13.949443,3333,Thermostat,Temperature,27.62
2023-04-24 12:32:13.949443,3748,Sensor,Humidity,27.59
2023-04-26 12:32:13.949443,4121,Sensor,Motion,67.74
2023-04-26 12:32:13.949443,9375,Thermostat,Motion,66.95
2023-05-01 12:32:13.949443,9037,Light,Temperature,86.56
2023-05-02 12:32:13.949443,9472,Camera,Humidity,29.13
2023-05-02 12:32:13.949443,2087,Light,Light,63.62
2023-05-05 12:32:13.949443,3907,Camera,Light,19.27
2023-05-05 12:32:13.949443,9480,Light,Light,39.95
2023-05-05 12:32:13.949443,2834,Sensor,Humidity,69.78
2023-05-06 12:32:13.949443,2956,Light,Light,54.67
2023-05-06 12:32:13.949443,5460,Sensor,Light,46.48
2023-05-07 12:32:13.949443,5241,Sensor,Humidity,14.83
2023-05-07 12:32:13.949443,3198,Camera,Temperature,64.79
2023-05-08 12:32:13.949443,3344,Light,Temperature,67.76
2023-05-10 12:32:13.949443,7006,Camera,Temperature,88.46
2023-05-10 12:32:13.949443,6327,Light,Light,15.17
2023-05-12 12:32:13.949443,2953,Sensor,Temperature,32.04
2023-05-13 12:32:13.949443,5802,Camera,Light,94.81
2023-05-13 12:32:13.949443,6221,Camera,Light,36.42
2023-05-14 12:32:13.949443,8722,Thermostat,Motion,11.35
2023-05-14 12:32:13.949443,8333,Camera,Humidity,65.26
2023-05-16 12:32:13.949443,9329,Thermostat,Temperature,57.49
2023-05-16 12:32:13.949443,6736,Camera,Humidity,56.42
2023-05-16 12:32:13.949443,7299,Light,Temperature,78.42
2023-05-17 12:32:13.949443,9410,Light,Light,97.91
2023-05-17 12:32:13.949443,5269,Thermostat,Temperature,44.68
2023-05-18 12:32:13.949443,7922,Sensor,Temperature,52.23
2023-05-22 12:32:13.949443,8723,Light,Motion,32.71
2023-05-23 12:32:13.949443,3218,Sensor,Humidity,40.99
2023-05-24 12:32:13.949443,3491,Thermostat,Temperature,95.7
2023-05-24 12:32:13.949443,6597,Light,Humidity,21.25
2023-05-25 12:32:13.949443,9639,Sensor,Motion,22.96
2023-05-28 12:32:13.949443,5459,Thermostat,Motion,97.02
2023-05-28 12:32:13.949443,6176,Sensor,Humidity,17.72
2023-05-29 12:32:13.949443,4565,Camera,Light,42.26
2023-05-29 12:32:13.949443,1014,Light,Light,59.83
2023-05-30 12:32:13.949443,7592,Thermostat,Humidity,29.09
2023-05-30 12:32:13.949443,2508,Sensor,Motion,70.05
2023-06-01 12:32:13.949443,5784,Thermostat,Humidity,64.58
2023-06-01 12:32:13.949443,6084,Sensor,Temperature,48.77
2023-06-01 12:32:13.949443,4556,Sensor,Motion,19.69
2023-06-01 12:32:13.949443,6126,Camera,Motion,27.69
2023-06-01 12:32:13.949443,8689,Camera,Humidity,91.83
2023-06-03 12:32:13.949443,5476,Light,Light,73.42
2023-06-09 12:32:13.949443,7127,Light,Temperature,20.13
2023-06-10 12:32:13.949443,6154,Thermostat,Motion,43.72
2023-06-10 12:32:13.949443,7341,Camera,Motion,88.83
2023-06-11 12:32:13.949443,3565,Thermostat,Light,69.57
2023-06-12 12:32:13.949443,4792,Sensor,Humidity,34.86
2023-06-13 12:32:13.949443,5057,Sensor,Motion,44.48
2023-06-14 12:32:13.949443,8761,Light,Light,76.52
2023-06-14 12:32:13.949443,8478,Light,Temperature,29.52
2023-06-16 12:32:13.949443,5552,Camera,Humidity,97.26
2023-06-17 12:32:13.949443,3012,Sensor,Temperature,95.39
2023-06-17 12:32:13.949443,5721,Light,Light,61.93
2023-06-18 12:32:13.949443,2165,Camera,Temperature,91.52
2023-06-18 12:32:13.949443,8241,Sensor,Light,68.87
2023-06-19 12:32:13.949443,3469,Sensor,Motion,71.61
2023-06-20 12:32:13.949443,8016,Light,Motion,28.43
2023-06-21 12:32:13.949443,4243,Thermostat,Temperature,34.45
2023-06-21 12:32:13.949443,9243,Camera,Humidity,74.47
2023-06-22 12:32:13.949443,1773,Camera,Light,16.84
2023-06-23 12:32:13.949443,2652,Light,Light,46.64
2023-06-23 12:32:13.949443,9294,Camera,Temperature,57.75
2023-06-24 12:32:13.949443,3005,Camera,Temperature,84.72
2023-06-24 12:32:13.949443,9469,Sensor,Temperature,66.15
2023-06-25 12:32:13.949443,3775,Sensor,Motion,22.02
2023-06-26 12:32:13.949443,8579,Camera,Light,52.47
2023-06-27 12:32:13.949443,6941,Sensor,Humidity,43.11
2023-06-27 12:32:13.949443,3421,Camera,Motion,43.22
2023-06-28 12:32:13.949443,8044,Sensor,Light,60.96
2023-07-02 12:32:13.949443,9448,Thermostat,Motion,71.2
2023-07-03 12:32:13.949443,6798,Thermostat,Motion,11.88
2023-07-03 12:32:13.949443,2186,Thermostat,Temperature,93.68
2023-07-04 12:32:13.949443,2084,Thermostat,Temperature,53.48
2023-07-07 12:32:13.949443,4370,Thermostat,Humidity,79.78
2023-07-08 12:32:13.949443,6412,Sensor,Light,55.59
2023-07-08 12:32:13.949443,5575,Sensor,Temperature,95.37
2023-07-09 12:32:13.949443,6311,Light,Humidity,34.37
2023-07-09 12:32:13.949443,7619,Light,Light,38.48
2023-07-10 12:32:13.949443,1120,Thermostat,Humidity,64.66
2023-07-13 12:32:13.949443,6300,Camera,Humidity,67.03
2023-07-13 12:32:13.949443,2261,Camera,Light,54.42
